"slug","variantId","sku","Processor","Memory","Design","Storage","Graphics","short_description-en","long_description-en","short_description-de","long_description-de"
"153_lenovo_e73","1","29529631","3,2 GHz","8 GB","SFF","256 GB","Intel HD Graphics 4600","Lenovo ThinkCentre E73, i7-4790S, SFF, 64-bit, SSD, Intel Core i7-4xxx, DVD±RW","Lenovo E73, ThinkCentre. Processor frequency: 3.2 GHz, Processor family: Intel Core i7-4xxx, Processor model: i7-4790S. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD±RW. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1200 MHz","Lenovo ThinkCentre E73, i7-4790S, SFF, 64-bit, SSD, Intel Core i7-4xxx, DVD±RW","Lenovo E73, ThinkCentre. Prozessor-Taktfrequenz: 3,2 GHz, Prozessorfamilie: Intel Core i7-4xxx, Prozessor: i7-4790S. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD±RW. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1200 MHz"
"153_lenovo_e73","2","29761404","2,9 GHz","8 GB","Mini Tower","1000 GB","NVIDIA GeForce GT 620","Lenovo ThinkCentre E73, i5-4460S, Mini Tower, 64-bit, HDD, Intel Core i5-4xxx, DVD±RW","Lenovo E73, ThinkCentre. Processor frequency: 2.9 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4460S. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive capacity: 1000 GB. Optical drive type: DVD±RW. Discrete graphics adapter model: NVIDIA GeForce GT 620, Discrete graphics adapter memory: 1 GB, On-board graphics adapter model: Intel HD Graphics 4600","Lenovo ThinkCentre E73, i5-4460S, Mini Tower, 64-bit, Festplatte, Intel Core i5-4xxx, DVD±RW","Lenovo E73, ThinkCentre. Prozessor-Taktfrequenz: 2,9 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4460S. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Optisches Laufwerk - Typ: DVD±RW. Dediziertes Grafikmodell: NVIDIA GeForce GT 620, Separater Grafik-Adapterspeicher: 1 GB, On-board Grafik Modell: Intel HD Graphics 4600"
"153_lenovo_m73","1","27107296","3,2 GHz","4 GB","Kensington","500 GB","Intel HD Graphics 4600","Lenovo ThinkCentre M73, i5-4460, SFF, 64-bit, HDD, Intel Core i5-4xxx, DVD±RW","Lenovo M73, ThinkCentre. Processor frequency: 3.2 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4460. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD±RW. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1100 MHz","Lenovo ThinkCentre M73, i5-4460, SFF, 64-bit, Festplatte, Intel Core i5-4xxx, DVD±RW","Lenovo M73, ThinkCentre. Prozessor-Taktfrequenz: 3,2 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4460. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD±RW. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1100 MHz"
"153_lenovo_p300-tower","1","23087059","3,6 GHz","8 GB","Tower","2000 GB","Intel HD Graphics 4600","Lenovo ThinkStation P300 Tower, i7-4790, Tower, 64-bit, HDD, Intel Core i7-4xxx, DVD±RW","Lenovo P300 Tower, ThinkStation. Processor frequency: 3.6 GHz, Processor family: Intel Core i7-4xxx, Processor model: i7-4790. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 2000 GB, Storage media: HDD, Hard drive capacity: 2000 GB. Optical drive type: DVD±RW. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1200 MHz","Lenovo ThinkStation P300 Tower, i7-4790, Turm, 64-bit, Festplatte, Intel Core i7-4xxx, DVD±RW","Lenovo P300 Tower, ThinkStation. Prozessor-Taktfrequenz: 3,6 GHz, Prozessorfamilie: Intel Core i7-4xxx, Prozessor: i7-4790. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 2000 GB, Speichermedien: Festplatte, Festplattenkapazität: 2000 GB. Optisches Laufwerk - Typ: DVD±RW. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1200 MHz"
"153_lenovo_p310","1","30648859","3,6 GHz","8 GB","Tower","256 GB","Intel HD Graphics P530","Lenovo ThinkStation P310, E3-1275V5, Tower, 64-bit, SSD, Intel Xeon E3 v5, DVD±RW","Lenovo P310, ThinkStation. Processor frequency: 3.6 GHz, Processor family: Intel Xeon E3 v5, Processor model: E3-1275V5. Internal memory: 8 GB, Internal memory type: DDR4-SDRAM, Maximum internal memory: 64 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD±RW. Discrete graphics adapter memory: 0 GB, On-board graphics adapter model: Intel HD Graphics P530, On-board graphics adapter outputs supported: DVI, DisplayPort, Embedded DisplayPort (eDP), HDMI","Lenovo ThinkStation P310, E3-1275V5, Turm, 64-bit, SSD, Intel Xeon E3 v5, DVD±RW","Lenovo P310, ThinkStation. Prozessor-Taktfrequenz: 3,6 GHz, Prozessorfamilie: Intel Xeon E3 v5, Prozessor: E3-1275V5. RAM-Speicher: 8 GB, Interner Speichertyp: DDR4-SDRAM, RAM-Speicher maximal: 64 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD±RW. Separater Grafik-Adapterspeicher: 0 GB, On-board Grafik Modell: Intel HD Graphics P530, On-Board Grafikadapter unterstützte Ausgänge: DVI, DisplayPort, Embedded DisplayPort (eDP), HDMI"
"153_lenovo_p900","1","24788120","2,4 GHz","8 GB","Turm","1000 GB","Intel HD Graphics 4600","Lenovo ThinkStation P900, E5-2620V3, Tower, 64-bit, HDD, Intel Xeon E5 v3, DVD±RW","Lenovo P900, ThinkStation. Processor frequency: 2.4 GHz, Processor family: Intel Xeon E5 v3, Processor model: E5-2620V3. Internal memory: 8 GB, Internal memory type: DDR4-SDRAM, Maximum internal memory: 256 GB. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive capacity: 1000 GB. Optical drive type: DVD±RW. Operating system installed: Windows 7 Professional, Operating system architecture: 64-bit, Recovery operating system: Windows 8.1 Pro","Lenovo ThinkStation P900, E5-2620V3, Turm, 64-bit, Festplatte, Intel Xeon E5 v3, DVD±RW","Lenovo P900, ThinkStation. Prozessor-Taktfrequenz: 2,4 GHz, Prozessorfamilie: Intel Xeon E5 v3, Prozessor: E5-2620V3. RAM-Speicher: 8 GB, Interner Speichertyp: DDR4-SDRAM, RAM-Speicher maximal: 256 GB. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Optisches Laufwerk - Typ: DVD±RW. Vorinstalliertes Betriebssystem: Windows 7 Professional, Betriebssystem Architektur: 64-bit, Recovery-Betriebssystem: Windows 8.1 Pro"
"1630_asus_vivowatch","1","27003893",,,,,,,,,
"1630_asus_vivowatch","2","27207215",,,,,,,,,
"1630_hannspree_sw68sd12","1","26192836",,,,,,,,,
"1630_tomtom_golf","1","24235707",,,,,,,,,
"1630_tomtom_golfer","1","27290499",,,,,,,,,
"1630_tomtom_multi-sport-cardio","1","22196533",,,,,,,,,
"1630_tomtom_runner","1","19611864",,,,,,,,,
"1893_acer_330","1","29843537",,,,,,,,,
"1893_acer_jade-z","1","26175504",,,,,,,,,
"1893_acer_jade-z-white","1","26175505",,,,,,,,,
"1893_acer_z530","1","29406183",,,,,,,,,
"1893_acer_z630","1","29406182",,,,,,,,,
"1893_acer_z630","2","29406184",,,,,,,,,
"1893_acer_z630s","1","30620196",,,,,,,,,
"1893_samsung_3","1","26552089",,,,,,,,,
"1893_samsung_gt-i9060","1","25923236",,,,,,,,,
"1893_samsung_gt-s7390","1","21736789",,,,,,,,,
"1893_samsung_sm-g110h","1","24751053",,,,,,,,,
"1893_samsung_sm-g355h","1","23339155",,,,,,,,,
"1893_samsung_sm-g920f","1","26346564",,,,,,,,,
"1893_samsung_sm-g920f","2","26408542",,,,,,,,,
"1893_samsung_sm-g925f","1","26408559",,,,,,,,,
"1893_samsung_sm-g928f","1","29544908",,,,,,,,,
"1893_samsung_sm-n910f","1","24675870",,,,,,,,,
"1893_sony_c5-ultra","1","29847624",,,,,,,,,
"1893_sony_m4-aqua","1","26534020",,,,,,,,,
"1893_sony_xperia-z5","1","29579058",,,,,,,,,
"1893_sony_xperia-z5","2","29579061",,,,,,,,,
"1893_sony_xperia-z5-compact","1","29579056",,,,,,,,,
"1893_sony_z3-compact","1","24602396",,,,,,,,,
"1893_sony_z5","1","29801571",,,,,,,,,
"1893_sony_z5-premium","1","29731567",,,,,,,,,
"2647_samsung_galaxy-gear","1","19682158",,,,,,,,,
"2647_samsung_galaxy-gear","2","19682159",,,,,,,,,
"2647_samsung_galaxy-gear","3","19763031",,,,,,,,,
"2647_samsung_gear-s","1","24666697",,,,,,,,,
"2647_samsung_gear-s2","1","30014805",,,,,,,,,
"2647_samsung_gear-s2","2","30014807",,,,,,,,,
"2647_samsung_gear-s2-classic","1","29901936",,,,,,,,,
"2647_sony_smartwatch","1","12295890",,,,,,,,,
"2647_sony_smartwatch-3-swr50","1","24495842",,,,,,,,,
"2647_sony_smartwatch-3-swr50","2","24495843",,,,,,,,,
"2647_sony_smartwatch-3-swr50","3","26512883",,,,,,,,,
"2647_sony_smartwatch-3-swr50","4","26512884",,,,,,,,,
"2647_sony_sw2-smartwatch-2","1","21047360",,,,,,,,,
"2871_acer_leap-active","1","29727910",,,,,,,,,
"2871_hannspree_sw49st11","1","28535676",,,,,,,,,
"2871_sony_smartband-talk-swr30","1","24495852",,,,,,,,,
"2871_sony_smartband-talk-swr30","2","24495853",,,,,,,,,
"2871_sony_swr10-limited-brazil-edition","1","22078075",,,,,,,,,
"2871_tomtom_spark-cardio-music","1","29805780",,,,,,,,,
"3073_sony_swr12","1","29634940",,,,,,,,,
"3073_sony_swr12","2","29634947",,,,,,,,,
"575_canon_1200d-ef-s-18-55mm","1","21751902",,,,,,,,,
"575_canon_160","1","25905585",,,,,,,,,
"575_canon_165","1","25904598",,,,,,,,,
"575_canon_285-hs","1","30688700",,,,,,,,,
"575_canon_g9-x","1","30021637",,,,,,,,,
"575_canon_rebel-sl1-ef-s-18-55mm","1","18146996",,,,,,,,,
"575_canon_sx610-hs","1","25904691",,,,,,,,,
"575_fujifilm_xp80","1","26224361",,,,,,,,,
"575_panasonic_dmc-fz300","1","29393146",,,,,,,,,
"575_panasonic_dmc-gh4-g-vario-hd-14-140mm","1","22766226",,,,,,,,,
"575_panasonic_dmc-sz10","1","26141878",,,,,,,,,
"575_panasonic_dmc-tz57eg","1","26933260",,,,,,,,,
"575_sony_dsc-w630","1","12255434",,,,,,,,,
"584_canon_hf-g25","1","17365820",,,,,,,,,
"584_canon_hf-g30","1","18662566",,,,,,,,,
"584_canon_hf-r606","1","25910847",,,,,,,,,
"584_canon_hf-r66","1","25955264",,,,,,,,,
"584_ricoh_theta-s","1","30150732",,,,,,,,,
"584_samsung_hmx-f90wp","1","17681791",,,,,,,,,
"584_samsung_mini-dv-camcorder-black","1","828188",,,,,,,,,
"584_sony_fdr-ax33","1","25904159",,,,,,,,,
"584_sony_hdr-cx405","1","25904123",,,,,,,,,
"584_sony_hdr-mv1","1","19692589",,,,,,,,,
"584_sony_hxr-mc2500e","1","24788780",,,,,,,,,
"584_sony_nex-vg30e","1","15619960",,,,,,,,,
"584_sony_pxw-fs5k","1","29851280",,,,,,,,,
"584_toshiba_camileo-s30","1","6350138",,,,,,,,,
"584_toshiba_camileo-s40","1","15721464",,,,,,,,,
"897_acer_one-7-b1-770","1","29545800",,,,,,,,,
"897_asus_z170c-1b012a","1","29525342",,,,,,,,,
"897_asus_z170c-1l019a","1","29525343",,,,,,,,,
"897_asus_z300c-1a069a","1","29518547",,,,,,,,,
"897_asus_z300c-1b053a","1","29518551",,,,,,,,,
"897_asus_z380c-1l051a","1","29565391",,,,,,,,,
"897_asus_z580ca-1a032a","1","28373128",,,,,,,,,
"897_asus_z580ca-1b024a","1","29565389",,,,,,,,,
"897_hp_1000-g2","1","26289661",,,,,,,,,
"897_hp_608-g1","1","28586825",,,,,,,,,
"897_hp_elite-x2-1012-g1","1","30375360",,,,,,,,,
"897_hp_pro-slate-10-ee-g1","1","25988329",,,,,,,,,
"897_hp_pro-slate-8","1","25893779",,,,,,,,,
"897_lenovo_3-8","1","29414094",,,,,,,,,
"897_lenovo_3-pro-10","1","29743301",,,,,,,,,
"897_lenovo_a10-70","1","27262160",,,,,,,,,
"897_lenovo_miix-300-10iby","1","30274741",,,,,,,,,
"897_lenovo_tab-2-a7-10f","1","26072016",,,,,,,,,
"897_lenovo_thinkpad-8","1","22626962",,,,,,,,,
"897_panasonic_fz-b2","1","24980927",,,,,,,,,
"897_samsung_80","1","29385583",,,,,,,,,
"897_samsung_96","1","28547942",,,,,,,,,
"897_samsung_sm-t550","1","26981568",,,,,,,,,
"897_samsung_sm-t550n","1","26564922",,,,,,,,,
"897_samsung_sm-t560","1","29536449",,,,,,,,,
"897_samsung_sm-t670","1","30345097",,,,,,,,,
"897_sony_z2","1","21811723",,,,,,,,,
"897_sony_z2-tablet","1","26974234",,,,,,,,,
"897_sony_z3-compact","1","24692598",,,,,,,,,
